IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.16.159.155,4,4,0.00,66.25,0.28,HKG
198.41.208.71,4,4,0.00,63.22,0.27,HKG
104.16.158.5,4,4,0.00,67.71,0.23,HKG
104.16.157.102,4,4,0.00,66.37,0.22,HKG
198.41.209.212,4,4,0.00,62.16,0.16,HKG
104.16.148.112,4,4,0.00,67.57,0.15,HKG
104.16.153.63,4,4,0.00,67.26,0.15,HKG
104.16.152.20,4,4,0.00,65.97,0.14,HKG
104.16.247.128,4,4,0.00,66.46,0.13,HKG
198.41.204.207,4,3,0.25,229.06,0.00,N/A
104.16.234.139,4,4,0.00,229.17,0.00,N/A
104.17.124.170,4,4,0.00,67.99,0.00,N/A
104.17.105.95,4,4,0.00,68.39,0.00,N/A
104.17.63.236,4,4,0.00,68.42,0.00,N/A
104.17.120.170,4,4,0.00,68.60,0.00,N/A
104.16.151.163,4,4,0.00,68.85,0.00,N/A
104.17.104.105,4,4,0.00,69.45,0.00,N/A
104.17.119.122,4,4,0.00,69.48,0.00,N/A
104.17.55.203,4,4,0.00,69.54,0.00,N/A
104.16.147.205,4,4,0.00,69.56,0.00,N/A
104.16.150.165,4,4,0.00,69.70,0.00,N/A
104.16.144.183,4,4,0.00,69.91,0.00,N/A
104.17.58.187,4,4,0.00,70.69,0.00,N/A
104.16.149.229,4,4,0.00,70.69,0.00,N/A
104.17.35.85,4,4,0.00,70.69,0.00,N/A
104.17.54.8,4,4,0.00,70.97,0.00,N/A
104.17.107.248,4,4,0.00,71.17,0.00,N/A
104.17.98.117,4,4,0.00,71.22,0.00,N/A
104.16.145.82,4,4,0.00,71.78,0.00,N/A
104.17.106.247,4,4,0.00,71.85,0.00,N/A
104.17.29.215,4,4,0.00,71.95,0.00,N/A
104.16.146.162,4,4,0.00,72.29,0.00,N/A
104.16.155.153,4,4,0.00,72.31,0.00,N/A
104.16.245.252,4,4,0.00,72.36,0.00,N/A
104.17.118.72,4,4,0.00,72.42,0.00,N/A
104.16.154.62,4,4,0.00,72.56,0.00,N/A
104.17.127.82,4,4,0.00,72.70,0.00,N/A
104.17.102.178,4,4,0.00,72.88,0.00,N/A
104.17.114.37,4,4,0.00,72.88,0.00,N/A
104.17.57.118,4,4,0.00,72.96,0.00,N/A
104.16.156.72,4,4,0.00,73.16,0.00,N/A
104.17.49.3,4,4,0.00,73.28,0.00,N/A
104.17.110.159,4,4,0.00,73.45,0.00,N/A
104.17.53.178,4,4,0.00,73.60,0.00,N/A
104.17.122.140,4,4,0.00,73.62,0.00,N/A
104.17.111.156,4,4,0.00,74.27,0.00,N/A
104.16.241.134,4,4,0.00,74.39,0.00,N/A
104.17.101.52,4,4,0.00,74.53,0.00,N/A
104.17.62.33,4,4,0.00,74.56,0.00,N/A
104.17.121.222,4,4,0.00,74.57,0.00,N/A
104.17.100.13,4,4,0.00,74.96,0.00,N/A
104.17.51.230,4,4,0.00,75.03,0.00,N/A
104.17.56.226,4,4,0.00,75.06,0.00,N/A
104.17.50.60,4,4,0.00,76.01,0.00,N/A
104.17.52.51,4,4,0.00,76.15,0.00,N/A
104.17.112.6,4,4,0.00,76.34,0.00,N/A
104.17.108.233,4,4,0.00,76.45,0.00,N/A
104.17.28.116,4,4,0.00,76.53,0.00,N/A
104.17.99.1,4,4,0.00,76.82,0.00,N/A
104.17.103.85,4,4,0.00,77.06,0.00,N/A
104.17.31.190,4,4,0.00,77.50,0.00,N/A
104.17.123.3,4,4,0.00,77.78,0.00,N/A
104.17.17.121,4,4,0.00,77.95,0.00,N/A
104.17.19.82,4,4,0.00,77.99,0.00,N/A
104.17.116.185,4,4,0.00,78.25,0.00,N/A
104.17.61.190,4,4,0.00,78.54,0.00,N/A
104.17.117.181,4,4,0.00,78.57,0.00,N/A
104.17.22.233,4,4,0.00,78.71,0.00,N/A
104.17.60.38,4,4,0.00,78.74,0.00,N/A
104.17.97.157,4,4,0.00,78.76,0.00,N/A
104.17.48.121,4,4,0.00,78.77,0.00,N/A
104.17.125.174,4,4,0.00,78.79,0.00,N/A
104.17.115.49,4,4,0.00,78.91,0.00,N/A
104.17.113.34,4,4,0.00,79.21,0.00,N/A
104.17.96.123,4,4,0.00,79.49,0.00,N/A
104.17.126.107,4,4,0.00,79.77,0.00,N/A
104.17.20.23,4,4,0.00,79.84,0.00,N/A
104.16.254.242,4,4,0.00,80.13,0.00,N/A
104.17.30.129,4,4,0.00,80.28,0.00,N/A
104.17.23.154,4,4,0.00,80.33,0.00,N/A
104.16.255.46,4,4,0.00,80.37,0.00,N/A
104.17.26.93,4,4,0.00,80.44,0.00,N/A
104.17.27.58,4,4,0.00,80.64,0.00,N/A
104.16.249.54,4,4,0.00,81.38,0.00,N/A
104.17.25.159,4,4,0.00,82.51,0.00,N/A
104.17.24.33,4,4,0.00,82.66,0.00,N/A
104.16.244.31,4,4,0.00,82.81,0.00,N/A
104.16.251.244,4,4,0.00,83.08,0.00,N/A
104.17.109.127,4,4,0.00,83.25,0.00,N/A
104.16.246.67,4,4,0.00,83.60,0.00,N/A
104.16.248.133,4,4,0.00,83.66,0.00,N/A
104.16.252.248,4,4,0.00,83.77,0.00,N/A
104.16.243.47,4,4,0.00,83.89,0.00,N/A
104.16.253.189,4,4,0.00,84.48,0.00,N/A
104.16.240.134,4,4,0.00,84.61,0.00,N/A
104.16.250.219,4,4,0.00,84.78,0.00,N/A
104.17.59.188,4,4,0.00,86.07,0.00,N/A
104.17.21.230,4,4,0.00,87.17,0.00,N/A
104.17.16.68,4,4,0.00,87.70,0.00,N/A
104.17.18.78,4,4,0.00,88.86,0.00,N/A
103.21.244.214,4,4,0.00,153.98,0.00,N/A
104.16.11.181,4,4,0.00,209.45,0.00,N/A
162.159.36.121,4,4,0.00,213.63,0.00,N/A
162.159.26.34,4,4,0.00,214.21,0.00,N/A
104.26.3.186,4,4,0.00,214.82,0.00,N/A
104.16.12.111,4,4,0.00,215.00,0.00,N/A
162.159.92.13,4,4,0.00,216.96,0.00,N/A
104.16.13.29,4,4,0.00,218.57,0.00,N/A
104.17.45.163,4,4,0.00,218.71,0.00,N/A
162.159.199.185,4,4,0.00,218.80,0.00,N/A
162.159.38.232,4,4,0.00,218.94,0.00,N/A
162.159.235.30,4,4,0.00,219.82,0.00,N/A
104.16.33.18,4,4,0.00,219.86,0.00,N/A
198.41.202.34,4,4,0.00,220.00,0.00,N/A
104.16.43.242,4,4,0.00,220.22,0.00,N/A
104.16.161.156,4,4,0.00,220.42,0.00,N/A
162.159.95.34,4,4,0.00,220.66,0.00,N/A
162.159.57.15,4,4,0.00,220.80,0.00,N/A
104.26.8.183,4,4,0.00,220.84,0.00,N/A
198.41.198.241,4,4,0.00,220.96,0.00,N/A
104.26.12.251,4,4,0.00,221.23,0.00,N/A
104.16.122.6,4,4,0.00,221.27,0.00,N/A
198.41.218.145,4,4,0.00,221.28,0.00,N/A
162.159.7.252,4,4,0.00,221.43,0.00,N/A
162.159.27.19,4,4,0.00,221.50,0.00,N/A
162.159.14.18,4,4,0.00,221.50,0.00,N/A
104.16.59.149,4,4,0.00,221.61,0.00,N/A
104.26.5.70,4,4,0.00,221.62,0.00,N/A
104.16.55.225,4,4,0.00,221.80,0.00,N/A
104.26.9.187,4,4,0.00,221.83,0.00,N/A
162.159.34.52,4,4,0.00,221.91,0.00,N/A
104.16.52.103,4,4,0.00,221.91,0.00,N/A
104.16.168.120,4,4,0.00,221.94,0.00,N/A
162.159.22.165,4,4,0.00,222.06,0.00,N/A
198.41.216.247,4,4,0.00,222.20,0.00,N/A
162.159.90.219,4,4,0.00,222.33,0.00,N/A
104.16.18.187,4,4,0.00,222.43,0.00,N/A
104.26.4.20,4,4,0.00,222.43,0.00,N/A
104.16.27.180,4,4,0.00,222.52,0.00,N/A
162.159.23.161,4,4,0.00,222.52,0.00,N/A
198.41.201.86,4,4,0.00,222.60,0.00,N/A
198.41.206.84,4,4,0.00,222.65,0.00,N/A
104.26.10.125,4,4,0.00,222.66,0.00,N/A
104.26.11.73,4,4,0.00,222.76,0.00,N/A
198.41.222.197,4,4,0.00,222.80,0.00,N/A
162.159.5.60,4,4,0.00,223.13,0.00,N/A
162.159.21.118,4,4,0.00,223.14,0.00,N/A
104.26.2.86,4,4,0.00,223.17,0.00,N/A
104.16.14.75,4,4,0.00,223.19,0.00,N/A
162.159.42.49,4,4,0.00,223.20,0.00,N/A
162.159.48.143,4,4,0.00,223.41,0.00,N/A
104.16.49.40,4,4,0.00,223.64,0.00,N/A
104.16.130.1,4,4,0.00,223.74,0.00,N/A
104.26.13.163,4,4,0.00,223.74,0.00,N/A
104.16.221.112,4,4,0.00,223.77,0.00,N/A
162.159.231.24,4,4,0.00,223.78,0.00,N/A
104.16.1.164,4,4,0.00,223.80,0.00,N/A
104.16.30.143,4,4,0.00,223.81,0.00,N/A
162.159.243.35,4,4,0.00,223.90,0.00,N/A
162.159.39.9,4,3,0.25,230.66,0.00,N/A
104.16.17.24,4,4,0.00,223.95,0.00,N/A
104.26.7.195,4,4,0.00,224.07,0.00,N/A
104.16.64.127,4,4,0.00,224.08,0.00,N/A
104.16.132.109,4,4,0.00,224.08,0.00,N/A
162.159.41.114,4,4,0.00,224.19,0.00,N/A
104.16.7.53,4,4,0.00,224.25,0.00,N/A
104.16.15.104,4,4,0.00,224.35,0.00,N/A
162.159.230.196,4,4,0.00,224.36,0.00,N/A
104.26.6.189,4,4,0.00,224.36,0.00,N/A
104.16.8.147,4,4,0.00,224.42,0.00,N/A
104.16.6.67,4,4,0.00,224.46,0.00,N/A
