IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.45.234,4,4,0.00,58.89,6.34,NRT
162.159.27.148,4,4,0.00,77.97,4.27,SIN
162.159.25.17,4,4,0.00,79.93,3.88,SIN
162.159.26.186,4,4,0.00,81.14,3.69,SIN
162.159.38.80,4,4,0.00,60.16,2.76,NRT
162.159.2.72,4,4,0.00,81.83,2.68,SIN
162.159.39.97,4,4,0.00,62.39,1.76,NRT
162.159.44.16,4,4,0.00,60.22,1.44,NRT
172.67.185.116,4,4,0.00,258.91,0.00,N/A
104.18.86.94,4,4,0.00,223.98,0.00,N/A
162.159.24.30,4,4,0.00,83.96,0.00,N/A
162.159.50.242,4,4,0.00,84.06,0.00,N/A
162.159.8.9,4,4,0.00,84.53,0.00,N/A
162.159.17.232,4,4,0.00,84.53,0.00,N/A
162.159.16.155,4,4,0.00,84.66,0.00,N/A
162.159.61.133,4,4,0.00,84.84,0.00,N/A
162.159.22.237,4,4,0.00,85.86,0.00,N/A
162.159.60.189,4,4,0.00,86.04,0.00,N/A
162.159.62.214,4,4,0.00,86.70,0.00,N/A
162.159.9.76,4,4,0.00,86.76,0.00,N/A
162.159.10.107,4,4,0.00,86.88,0.00,N/A
162.159.49.120,4,4,0.00,90.10,0.00,N/A
162.159.57.216,4,4,0.00,90.81,0.00,N/A
162.159.58.179,4,4,0.00,91.08,0.00,N/A
162.159.46.33,4,4,0.00,91.25,0.00,N/A
198.41.222.48,4,4,0.00,91.78,0.00,N/A
162.159.48.180,4,4,0.00,92.24,0.00,N/A
162.159.1.83,4,4,0.00,92.30,0.00,N/A
162.159.18.108,4,4,0.00,92.63,0.00,N/A
162.159.12.143,4,4,0.00,92.63,0.00,N/A
162.159.42.79,4,4,0.00,92.77,0.00,N/A
162.159.43.201,4,4,0.00,93.60,0.00,N/A
162.159.0.202,4,4,0.00,93.62,0.00,N/A
162.159.41.74,4,4,0.00,93.80,0.00,N/A
162.159.23.141,4,4,0.00,93.82,0.00,N/A
162.159.20.115,4,4,0.00,93.87,0.00,N/A
162.159.15.163,4,4,0.00,93.88,0.00,N/A
162.159.40.235,4,4,0.00,93.98,0.00,N/A
162.159.14.215,4,4,0.00,94.09,0.00,N/A
162.159.11.15,4,4,0.00,94.12,0.00,N/A
162.159.4.181,4,4,0.00,94.24,0.00,N/A
198.41.223.212,4,4,0.00,94.66,0.00,N/A
162.159.35.217,4,4,0.00,95.13,0.00,N/A
162.159.13.136,4,4,0.00,95.23,0.00,N/A
162.159.3.143,4,4,0.00,95.48,0.00,N/A
162.159.7.252,4,4,0.00,95.48,0.00,N/A
162.159.19.47,4,4,0.00,95.73,0.00,N/A
162.159.34.192,4,4,0.00,95.87,0.00,N/A
162.159.36.151,4,4,0.00,95.96,0.00,N/A
198.41.211.39,4,4,0.00,96.15,0.00,N/A
162.159.6.36,4,4,0.00,96.23,0.00,N/A
104.18.46.91,4,4,0.00,97.46,0.00,N/A
162.159.32.24,4,4,0.00,97.80,0.00,N/A
162.159.33.189,4,4,0.00,98.14,0.00,N/A
162.159.21.80,4,4,0.00,98.46,0.00,N/A
