IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.159.102,4,4,0.00,154.46,45.45,SJC
172.64.79.97,4,4,0.00,157.43,29.55,SJC
172.67.79.192,4,4,0.00,119.72,0.76,HKG
104.26.3.60,4,4,0.00,123.50,0.65,HKG
172.67.75.247,4,4,0.00,121.50,0.39,HKG
172.67.69.8,4,4,0.00,119.36,0.37,HKG
172.67.71.168,4,4,0.00,124.49,0.33,HKG
104.26.15.94,4,4,0.00,122.00,0.15,HKG
104.26.1.222,4,4,0.00,118.85,0.10,HKG
162.159.253.219,4,4,0.00,212.45,0.00,N/A
104.16.72.200,4,4,0.00,203.90,0.00,N/A
198.41.219.202,4,4,0.00,160.53,0.00,N/A
104.17.157.107,4,4,0.00,161.42,0.00,N/A
104.17.154.152,4,4,0.00,168.05,0.00,N/A
104.17.152.249,4,4,0.00,168.76,0.00,N/A
104.17.148.226,4,4,0.00,168.96,0.00,N/A
104.17.156.33,4,4,0.00,169.50,0.00,N/A
104.27.125.39,4,4,0.00,169.98,0.00,N/A
103.31.4.232,4,4,0.00,170.11,0.00,N/A
104.25.165.22,4,4,0.00,170.81,0.00,N/A
104.25.142.168,4,4,0.00,171.05,0.00,N/A
104.27.108.152,4,4,0.00,171.53,0.00,N/A
104.18.2.236,4,4,0.00,171.98,0.00,N/A
104.21.66.169,4,4,0.00,172.06,0.00,N/A
104.27.97.80,4,4,0.00,172.08,0.00,N/A
104.17.41.94,4,4,0.00,172.23,0.00,N/A
162.159.46.95,4,4,0.00,172.36,0.00,N/A
172.67.81.217,4,4,0.00,172.70,0.00,N/A
104.21.45.167,4,4,0.00,172.76,0.00,N/A
104.25.195.120,4,4,0.00,172.79,0.00,N/A
104.27.106.188,4,4,0.00,172.87,0.00,N/A
172.65.38.139,4,4,0.00,172.90,0.00,N/A
104.25.134.130,4,4,0.00,172.97,0.00,N/A
172.65.95.154,4,4,0.00,173.00,0.00,N/A
172.67.87.54,4,4,0.00,173.07,0.00,N/A
172.64.50.125,4,4,0.00,173.08,0.00,N/A
172.66.147.36,4,4,0.00,173.12,0.00,N/A
172.64.235.125,4,4,0.00,173.17,0.00,N/A
104.21.68.156,4,4,0.00,173.23,0.00,N/A
104.27.85.153,4,4,0.00,173.36,0.00,N/A
104.24.45.72,4,4,0.00,173.42,0.00,N/A
162.159.49.144,4,4,0.00,173.50,0.00,N/A
104.27.118.225,4,4,0.00,173.67,0.00,N/A
104.27.79.38,4,4,0.00,173.83,0.00,N/A
104.25.189.239,4,4,0.00,173.85,0.00,N/A
172.66.211.238,4,4,0.00,173.85,0.00,N/A
104.27.117.108,4,4,0.00,173.98,0.00,N/A
172.66.45.173,4,4,0.00,174.00,0.00,N/A
172.67.140.147,4,4,0.00,174.18,0.00,N/A
104.27.44.52,4,4,0.00,174.20,0.00,N/A
104.21.12.21,4,4,0.00,174.25,0.00,N/A
172.65.71.49,4,4,0.00,174.26,0.00,N/A
104.17.141.14,4,4,0.00,174.38,0.00,N/A
104.17.60.242,4,4,0.00,174.38,0.00,N/A
162.159.51.27,4,4,0.00,174.40,0.00,N/A
173.245.49.141,4,4,0.00,174.43,0.00,N/A
104.19.10.90,4,4,0.00,174.53,0.00,N/A
172.64.157.235,4,4,0.00,174.55,0.00,N/A
104.21.36.204,4,4,0.00,174.55,0.00,N/A
104.24.84.27,4,4,0.00,174.56,0.00,N/A
172.66.152.31,4,4,0.00,174.60,0.00,N/A
104.27.95.229,4,4,0.00,174.75,0.00,N/A
104.17.32.79,4,4,0.00,174.76,0.00,N/A
104.25.186.169,4,4,0.00,174.83,0.00,N/A
104.27.53.159,4,4,0.00,174.84,0.00,N/A
104.21.7.188,4,4,0.00,175.02,0.00,N/A
104.16.115.224,4,4,0.00,175.02,0.00,N/A
104.21.88.53,4,4,0.00,175.10,0.00,N/A
104.24.68.59,4,4,0.00,175.13,0.00,N/A
104.27.27.96,4,4,0.00,175.14,0.00,N/A
172.66.198.101,4,4,0.00,175.34,0.00,N/A
104.27.78.105,4,4,0.00,175.41,0.00,N/A
172.65.17.70,4,4,0.00,175.41,0.00,N/A
104.27.82.77,4,4,0.00,175.41,0.00,N/A
172.66.157.72,4,4,0.00,175.42,0.00,N/A
104.24.23.187,4,4,0.00,175.44,0.00,N/A
104.27.99.138,4,4,0.00,175.44,0.00,N/A
104.21.13.161,4,4,0.00,175.46,0.00,N/A
104.24.82.23,4,4,0.00,175.51,0.00,N/A
104.27.98.187,4,4,0.00,175.58,0.00,N/A
104.27.72.120,4,4,0.00,175.63,0.00,N/A
104.24.62.70,4,4,0.00,175.76,0.00,N/A
104.17.45.144,4,4,0.00,175.82,0.00,N/A
104.27.87.90,4,4,0.00,175.89,0.00,N/A
172.66.137.159,4,4,0.00,175.98,0.00,N/A
104.25.137.55,4,4,0.00,176.00,0.00,N/A
162.159.95.144,4,4,0.00,176.01,0.00,N/A
172.67.212.199,4,4,0.00,176.03,0.00,N/A
104.24.14.152,4,4,0.00,176.03,0.00,N/A
104.25.255.137,4,4,0.00,176.05,0.00,N/A
104.21.71.85,4,4,0.00,176.06,0.00,N/A
104.17.1.149,4,4,0.00,176.06,0.00,N/A
104.27.58.100,4,4,0.00,176.08,0.00,N/A
172.64.72.254,4,4,0.00,176.10,0.00,N/A
104.17.58.41,4,4,0.00,176.14,0.00,N/A
104.18.118.111,4,4,0.00,176.17,0.00,N/A
104.25.182.84,4,4,0.00,176.20,0.00,N/A
172.66.156.193,4,4,0.00,176.21,0.00,N/A
172.64.34.71,4,4,0.00,176.26,0.00,N/A
104.21.44.121,4,4,0.00,176.26,0.00,N/A
104.24.80.53,4,4,0.00,176.29,0.00,N/A
172.65.42.210,4,4,0.00,176.32,0.00,N/A
104.24.31.225,4,4,0.00,176.33,0.00,N/A
104.27.28.46,4,4,0.00,176.34,0.00,N/A
104.21.65.211,4,4,0.00,176.37,0.00,N/A
198.41.209.184,4,4,0.00,176.42,0.00,N/A
104.16.22.34,4,4,0.00,176.44,0.00,N/A
104.21.8.26,4,4,0.00,176.44,0.00,N/A
172.66.217.121,4,4,0.00,176.48,0.00,N/A
162.159.58.79,4,4,0.00,176.54,0.00,N/A
